0,1,2,3,4,5,6,7,8,9,10,11
,,"Guwahati University, Kamrup",130,5,,,16,,,7,
,,"ITI Building, Gopinath Nagar",133,4,,,16,,,7,
,,"Khanapara, Central Dairy, Kamrup",144,4,,,20,,,8,
,,"Near Pragjyotish College, Santipur",143,4,,,17,,,8,
,Margherita,Coal India Office,96,4,,,9,,,6,
,Nagaon,"Water Resources Div., Christian Patty, Nagaon
College",99,3,,,16,,,7,
,Nalbari,"PWD Rural Div Office Complex, near Gordon
Boy's GS School",99,4,,,15,,,7,
,"North
Lakhimpur","Bazar Patti, North Lakhimpur Town",95,5,,,16,,,8,
,Silchar,"Govt. Boys HS School, Janiganj",90,5,,,8,,,6,
,,"RLO, Ithkola Market, Ghaniwala Road",89,5,,,9,,,6,
,Sivasagar,Sibasagar Office Building,104,4,,,9,,,6,
,,"Usha Lodge, near ONGCL Colony",103,4,,,11,,,7,
,Tezpur,Tezpur Office Building,99,5,,,13,,,8,
,Tinsukia,"Digboi Carbon factory Campus, Borguri",100,4,,,9,,,6,
,,"Shreepuria, Borguri",90,4,,,10,,,6,
,,Shivdham,103,3,,,9,,,6,
Bihar,Begusarai,Begusarai,102,9,,,16,,,12,
,Darbhanga,"Smt Baby Kumari, Ashok Hotel,Kadirabad
Chowk",104,10,,,27,,,16,
,Gaya,"Godam Road, Raja Market",103,7,,,16,,,12,
,Muzaffarpur,"BSPCB Regional Office, Bela Industrial Area, Bela",107,10,,,22,,,14,
,Patna,"Beltron Bhawan, Shastri Nagar",83,2,,,13,,,3,
,,"Gandhi Maidan, Auto Exhaust Test Centre",90,2,,,36,,,7,
,Rajgir,"Sujkund, Near Samuraji hotel",105,7,,,16,,,12,
,Sasaram,"Takia,Ward no.2, Rhotas",106,9,,,16,,,12,
Chandigarh,Chandigarh,"Modern Foods, Industrial Area",138,2,,,2,,,2,
,,Sector-17 C,145,2,,,2,,,2,
,,"Punjab Engineering College, Sector- 12",145,2,,,2,,,2,
,,"Sector-39, IMTECH",154,2,,,2,,,2,
,,Kaimbwala Village,140,2,,,2,,,2,
Chattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar",96,4,,,9,,,6,
,"Durg-
Bhillainagar","Visak Hostel, Sector-4",95,7,,,11,,,9,
,,"R.O., 5/32 Banglow Office Building",98,3,,,6,,,4,
,,M.P. Laghu Udyog Nigam,93,9,,,27,,,10,
,,"CSIDC Industrial Growth Center, Borai",60,9,,,12,,,10,
No. of,,,,,,,,,,,
monitoring,,,,,,,,,,,
days,,,,,,,,,,,
City / town /,,,,,,,,,,,
village,,,,,,,,,,,
Annual,,,,,,,,,,,
Average,,,,,,,,,,,
State / UT,"City / town /
village",Location,"No. of
monitoring
days",,SO2 Concentration in µg/m3,,,,,,
,,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,,(24-hourly,,,(24-hourly,,,
,,,,,average),,,average),,,
,Korba,"HIG 21,22.Near Ghantaghar, MP Extension",98,8,,,13,,,10,
,,"Pragati Nagar NTPC Colony, Jamnipali",98,6,,,24,,,9,
,Raipur,"New HIG-9, Hirapur/Housing Board Complex
Kabir Nagar",49,8,,,17,,,12,
,,M/S Wool Worth India Pvt. Ltd. Sarora,59,11,,,24,,,15,
"Dadra &
Nagar Haveli","Baldevi (Dadra
& Nagar
Haveli)*","Baldevi Village, Athola, Dandul Faliya,
Teh:Dadra & Nagar Haveli",103,8,,,24,,,18,
,Silvassa,"Khadoli Industrial Area, Khadoli",99,11,,,45,,,31,
,,"Chetan Guest House, Near Post Office, Piperia,
silvassa Char Rasta",101,10,,,45,,,28,
"Daman &
Diu",Daman,"Prima Plastic, Kadaiya Industrial Area, Kadaiya",103,11,,,40,,,28,
,,"Mashal Chawk, Nani Daman",99,11,,,41,,,26,
,"Patlara
(Daman)*","Makat Faliya/ Ambavadi, Patlara Village, Moti
Daman Teh:Daman",101,9,,,34,,,18,
Delhi,Delhi,"N.Y. School, Sarojini Nagar, Delhi",94,2,,,26,,,6,
,,Janakpuri,114,4,,,44,,,7,
,,"Naraina Industrial Area, Delhi",94,2,,,31,,,6,
,,Nizamuddin,100,4,,,13,,,5,
,,Pritampura,118,4,,,41,,,8,
,,Shahadra,102,4,,,31,,,6,
,,Shahzada Bagh,104,4,,,21,,,5,
,,Siri Fort,106,4,,,12,,,5,
,,"Town Hall, Ayurvedic Dispensary, Chandni
Chowk, Delhi",89,2,,,22,,,6,
Goa,Amona,"Amona, Bicholim",63,6,,,10,,,8,
,Assanora,"Assanora Junction, Bardez",65,4,,,12,,,8,
,Bicholim,Bicholim,64,5,,,10,,,7,
,Codli,"Codli Tisk, Ponda, Sanguem",62,4,,,11,,,8,
,Cuncolim,Cuncolim,50,7,,,17,,,11,
,Curchorem,"Curchorem, Sanvordem, Quepem",71,6,,,13,,,9,
,Honda,"Honda Junction, Sattari",64,5,,,10,,,8,
,Kundaim,Kundaim Industrial Estate,66,5,,,12,,,8,
,Mapusa,Mapusa town,80,2,,,20,,,4,
,Margao,Margao Town,64,5,,,9,,,7,
,Mormugao,"Fire Brigade Station, Port Trust",62,2,,,18,,,5,
,Panaji,"Old GSPCB premises, Patto",69,2,,,20,,,6,
,Ponda,Ponda Town,56,5,,,11,,,8,
,Sanguem,"Near Railway Station at Kalem, Sanguem",66,5,,,15,,,9,
,Tilamol,"Quepem, Tilamol",51,6,,,12,,,9,
,Tuem,Tuem Industrial Estate,64,5,,,11,,,8,
,Usgao,"Usgao Plae, Junction, Ponda",64,5,,,11,,,7,
,Vasco,"Fuse Call Office, Mormugao",85,2,,,17,,,5,
Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",95,10,,,32,,,17,
,,Cadilla Bridge Narol,104,9,,,49,,,18,
,,"Bhagavathi Estate, Keval Kanta Road, Rakhiyal",103,9,,,38,,,16,
,,"Reliable Products, 61/62 Ilaben
estate,PiranaDump Site,Narol (previous Dyno
Wash)",104,9,,,32,,,18,
,,L.D. Engg. College,104,10,,,33,,,15,
,,"Shardaben Hospital, Saraspur",103,9,,,32,,,15,
,,"R.C. Technical High School, Mirzapur",104,9,,,28,,,14,
,,"AZL Behrampura, Ahmadabad",105,9,,,33,,,17,
,,Sola L.T. Chanakyapuri Pumping Station,105,8,,,37,,,17,
,Anklesvar,Rallis India Ltd.,105,10,,,31,,,16,
,,"Durga Traders, Bhavanafarm Society",103,7,,,28,,,16,
,Jamnagar,Fisheries Office,105,10,,,35,,,17,
,Rajkot,Nr. Sardhara Industrial Corporation,104,10,,,38,,,19,
,,GPCB Regional Offce,105,10,,,37,,,19,
,Surat,S.V.R. Engg. College,105,8,,,49,,,19,
,,"B.R.C. High School, Udhna",104,11,,,65,,,28,
,,Near Air India Office,104,10,,,50,,,20,
,Vadodara,"GPCB Office, Geri Vasahat",104,10,,,35,,,19,
,,"Sterling Gelatin Guest House, Vill-Karakhadi
Padia",104,9,,,33,,,15,
,,Dandia Bazaar,104,10,,,42,,,20,
No. of,,,,,,,,,,,
monitoring,,,,,,,,,,,
days,,,,,,,,,,,
City / town /,,,,,,,,,,,
village,,,,,,,,,,,
Annual,,,,,,,,,,,
Average,,,,,,,,,,,
State / UT,"City / town /
village",Location,"No. of
monitoring
days",,SO2 Concentration in µg/m3,,,,,,
,,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,,(24-hourly,,,(24-hourly,,,
,,,,,average),,,average),,,
,,CETP Nandesari,104,10,,,43,,,22,
,,Lubrizol,101,10,,,65,,,21,
,Vapi,"GEB, IIIrd Phase, GIDC",102,9,,,38,,,18,
,,"Vapi Nagar Palika, Vapi",105,9,,,29,,,15,
Haryana,Hissar,Urban Estate - II,66,5,,,14,,,10,
"Himachal
Pradesh",Baddi,Industry Department Office Building,117,2,,,3,,,2,
,,AHC barotiwala,118,2,,,3,,,2,
,,Housing Board,139,2,,,3,,,2,
,Damtal,Regional Office,117,2,,,2,,,2,
,,Old Road,132,2,,,2,,,2,
,Dharamshala,Kotwali Bazar Dharamshala,95,2,,,2,,,2,
,,"Daari, Dharamshala",118,2,,,2,,,2,
,Gulaba,Behind green tax barrier,15,2,,,2,,,2,
,Kala Amb,Kala Amb Industrial Area,142,2,,,4,,,3,
,,Kala Amb Town/Trilokpur,182,2,,,10,,,2,
,Manali,"Nehru Park, Manali, Kullu",114,2,,,5,,,2,
,,"HPSPCB, Hadimba Road, Manali, Kullu",95,2,,,3,,,2,
,Marhi,Behind Police check post,12,2,,,2,,,2,
,Nalagarh,Municipal Council,129,2,,,2,,,2,
,Paonta Sahib,Paonta Sahib,140,2,,,10,,,2,
,,Gondhpur Industrial Area,137,2,,,5,,,3,
,Parwanoo,"Regional Office, Sector- 4",130,2,,,3,,,2,
,,Asst. Commissioner Building Sector I,123,2,,,3,,,2,
,Shimla,"Bus Stand, Winterfield",145,2,,,8,,,4,
,Sunder Nagar,"HPSPCB, BBMB Colony, Mandi",138,2,,,2,,,2,
,,"Muncipal Council, NH-21, Mandi",119,2,,,2,,,2,
,Una,"Regional Office, Una",36,2,,,2,,,2,
,,"DIC Building, Mehatpur, Una",15,2,,,2,,,2,
,Vashisht,"Behind pollution check barrier, Bhang",24,2,,,3,,,2,
"Jammu &
Kashmir",Jammu,"Regional Office, Jammu",98,2,,,7,,,4,
,,"M.A. Stadium, Jewel Chowk",99,2,,,8,,,4,
,,Bari Brahamana Industrial Area,101,2,,,7,,,4,
Jharkhand,Barajamda,Barajamda U.M. Office,86,11,,,20,,,16,
,Dhanbad,R.O. Dhanbad,87,11,,,19,,,14,
,,"EMTI, Bastacola",75,11,,,19,,,14,
,,"CGM Office, Kusunda",91,12,,,26,,,14,
,Jamshedpur,Bistupur Vehical Testing Centre,93,27,,,49,,,37,
,,Golmuri Vehicle Testing Centre,89,29,,,43,,,37,
,Jharia,M.A.D.A.,101,11,,,18,,,14,
,Ranchi,"Albert Ekka Chowk, Main Road",93,16,,,21,,,18,
,Saraikela,"RO Building, Adityapur",91,21,,,46,,,36,
,Sindri,BIT / PDIL,58,10,,,22,,,13,
Karnataka,Bagalkote,Bagalkote KSPCB Office Premises,84,2,,,2,,,2,
,Bangalore,"Graphite India, White Field Road",83,2,,,3,,,2,
,,"AMCO Batteries, Mysore Road",120,2,,,4,,,2,
,,"KHB Industrial Area, Yelahanka",124,2,,,3,,,2,
,,Peenya Industrial Area,85,2,,,3,,,2,
,,Victoria hospital,104,2,,,5,,,2,
,,Yeshwanthpura police station,120,2,,,4,,,2,
,,"Jnanabharathi, Bangalore University",77,2,,,10,,,6,
,,"TERI office, Vital Medi healthcare Pvt Ltd",105,2,,,3,,,2,
,Belgaum,Karnataka SPCB Office Building,79,2,,,2,,,2,
,Bidar,KSPCB Office Premises,45,2,,,3,,,2,
,Bijapur,KSPCB Office Premises,87,2,,,2,,,2,
,Chitradurga,KSPCB Office Premises,101,2,,,17,,,4,
,Devanagere,"Regional Office building, KSPCB",94,2,,,10,,,4,
,,"HPF Intakewell, Kumarapattnam",105,2,,,24,,,4,
,Gulburga,Government Hospital,61,2,,,5,,,2,
,Hassan,KSRTC bus stand building,104,2,,,5,,,4,
,Hubli-Dharwad,"Lakkamanahalli Industrial Area, Dharwad",103,4,,,7,,,5,
,,"Rani Chennamma Circle, Hubli",106,4,,,8,,,5,
,Kolar,"KSPCB Office Premises, Kolar",95,2,,,2,,,2,
,Mandya,"KSPCB Building, Bandigowda Badarahe",45,2,,,2,,,2,
,Mangalore,Baikampady Industrial Area,93,4,,,10,,,7,
,Mysore,"K.R.Circle, Visvesvaraya Bldg",103,2,,,10,,,3,
,Raichur,"KSPCB Office Premises, Raichur",106,2,,,23,,,2,
No. of,,,,,,,,,,,
monitoring,,,,,,,,,,,
days,,,,,,,,,,,
City / town /,,,,,,,,,,,
village,,,,,,,,,,,
Annual,,,,,,,,,,,
Average,,,,,,,,,,,
State / UT,"City / town /
village",Location,"No. of
monitoring
days",,SO2 Concentration in µg/m3,,,,,,
,,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,,(24-hourly,,,(24-hourly,,,
,,,,,average),,,average),,,
,Shimaga,"The VISL, Oxygen Plant, Shimoga",101,2,,,25,,,8,
,Timukuru,KSPCB Office Premises,103,2,,,3,,,2,
Kerala,Alappuzha,"District Office, Alissery Road",98,2,,,2,,,2,
,,"DC Mills, Pathirappally",88,2,,,2,,,2,
,Kochi,"Eloor I, FACT, Ambalamughal",84,2,,,4,,,2,
,,Eloor II,92,2,,,6,,,3,
,,Irumpanam,106,2,,,10,,,3,
,,Ernakulum South,106,2,,,7,,,3,
,,VYTTILA,106,2,,,9,,,3,
,,MG Road Bank Ernakulum,106,2,,,9,,,3,
,,KALAMASSERY / CSIR Complex,103,2,,,10,,,3,
,Kollam,"KSPCB, District Office, Kadappakada",99,2,,,3,,,2,
,,KMML Chavara,96,2,,,4,,,3,
,Kottayam,Kottayam,112,2,,,4,,,3,
,,Vadavathoor,112,2,,,5,,,3,
,Kozhikode,Kozhikode City,108,2,,,2,,,2,
,,Nallalam,109,2,,,2,,,2,
,Malapuram,"Kakkanchery, Sijmak oils",105,2,,,2,,,2,
,Palakkad,SEPR Refractories India Ltd.,103,2,,,8,,,2,
,"Pathanamthitt
a","KSPCB, Makkamkunnu",103,2,,,2,,,2,
,"Thiruvanantha
puram",PRS Hospital/COSMO,88,5,,,8,,,7,
,,SMV School,86,6,,,8,,,7,
,,VELI / HiTech Chackai,86,11,,,21,,,16,
,,PETTAH / Sasthamangalam,88,6,,,9,,,7,
,Thissur,"KSPCB, District Office, Poonkunnam",108,2,,,18,,,3,
,Wayanad,Sulthan Bathery,99,2,,,2,,,2,
"Madhya
Pradesh",Amlai,HJI,101,10,,,26,,,17,
,,OPM,135,7,,,24,,,14,
,Bhopal,"Hamidia Road, MP Hastshilp Vikas Nigam",105,2,,,20,,,9,
,,CETP Govindpura,121,2,,,17,,,5,
,,"Nutan Subhash School, T.T. Nagar",104,2,,,8,,,2,
,,"Kolar Thana, Kolar Road, Bhopal",102,2,,,18,,,8,
,,"AKVN Office, Industrial Area Mandideep, Raisen",85,2,,,26,,,11,
,,"Barkatuallah University, Hoshgabad Road,
Bhopal",101,2,,,12,,,5,
,,"Main Road, Hemu Colony, Bairagarh, Bhopal",105,2,,,16,,,7,
,Chhindwara,"HIG -33, Front of Geetanali Park Housing Board
Colony, Chadagaon",87,2,,,23,,,4,
,,"Hindustan Unileaver, Narsinghpur Road,",84,2,,,7,,,3,
,Dewas,EID Perry (I) Limited,105,11,,,20,,,16,
,,Dewas Metal Section,96,9,,,21,,,15,
,,Vikas Nagar,104,11,,,20,,,16,
,Gwalior,Dindayal Nagar,75,9,,,16,,,12,
,,Maharaj Bada,92,10,,,18,,,13,
,Indore,"M.P. Laghu Udyog, Pologround",98,3,,,13,,,10,
,,"Kothari Market, M.G. Road",108,3,,,39,,,10,
,,"Telephone Nagar, 26 A, Kanadia Road",110,4,,,16,,,10,
,Jabalpur,Vijay Nagar,102,2,,,2,,,2,
,,Udaipur Beverage Racchai,102,3,,,19,,,13,
,Katni,"HIG-4 Housing Board Colony Jhinjhri, Katni",98,7,,,30,,,12,
,,"Calderys Works Refactories India Private
Limited, Guest House, Katni",94,6,,,27,,,12,
,Nagda,Chem. D. Labour Club,74,9,,,33,,,20,
,,B C I Labour Club,78,7,,,20,,,11,
,,Grasim Kalyan Kendra,77,6,,,23,,,12,
,Prithampur,"Vikas Bhavan, Sector-2",103,6,,,27,,,11,
,,"RCC Over Head Tank No. 1, Sector-3",104,6,,,27,,,12,
,Sagar,Pt.Deendayal Nagar,91,2,,,11,,,3,
,,"Katra Bazar, Sagar",96,2,,,6,,,3,
,Satna,Sub-divisional Office E/M Light Machniery,89,3,,,6,,,4,
,,"MPPCB,Dharwari GaliNo.5,House No.318",113,2,,,5,,,3,
,Singrauli,Jayant Township,75,15,,,37,,,23,
,,"N.T.P.C., Vidyanagar",75,13,,,32,,,23,
,,Waidhan,75,14,,,31,,,23,
,Ujjain,District Office,95,10,,,19,,,15,
No. of,,,,,,,,,,,
monitoring,,,,,,,,,,,
days,,,,,,,,,,,
City / town /,,,,,,,,,,,
village,,,,,,,,,,,
Annual,,,,,,,,,,,
Average,,,,,,,,,,,
State / UT,"City / town /
village",Location,"No. of
monitoring
days",,SO2 Concentration in µg/m3,,,,,,
,,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,,(24-hourly,,,(24-hourly,,,
,,,,,average),,,average),,,
,,Regional Office,106,6,,,17,,,11,
,,Mahakal Temple,122,3,,,38,,,12,
,,Chamunda Mata Chouraha,96,10,,,18,,,14,
Maharashtra,Akola,"LRT Commerce College, Civil Lines, Akola",105,9,,,14,,,11,
,,"MIDC Water Work, Phash-II, MIDC Akola",101,11,,,18,,,13,
,,"College Of Engineering & Tech, Akola",104,10,,,15,,,12,
,Ambernath,Ambernath Municipal Council Office,86,16,,,41,,,25,
,Amravati,"Apurva Oil Industries, A-23, MIDC",90,10,,,27,,,16,
,,"Elect. Dept., Govt College Engineering",86,10,,,24,,,15,
,,"Rajkamal Square, Vaneeta Samaj",83,10,,,27,,,17,
,Aurangabad,S.B.E.S. College,85,10,,,27,,,14,
,,Collector Ofiice,76,8,,,16,,,11,
,,"C.A.D.A. Ofiice, Garkheda",83,7,,,24,,,13,
,Badlapur,BIWA Office,82,15,,,38,,,24,
,Bhiwandi,"Prematai Hall, Near Dhamankar Naka",88,26,,,41,,,32,
,,"Fire Brigade Office, I.G.M. Hospital",100,22,,,42,,,31,
,,"Regional Office, M.P.C. Board, Kalyan",106,22,,,58,,,30,
,Chandrapur,Grampanchat Ghughus,100,4,,,6,,,4,
,,M.I.D.C. Chandrapur,102,4,,,8,,,4,
,,Nagar Parishad,330,4,,,75,,,5,
,,"Gadchandur Gram Panchayat, Rajura",100,4,,,6,,,4,
,,"MIDC, Tadali",100,4,,,8,,,4,
,,"Muncipal Council, Ballarshah",99,4,,,6,,,4,
,Dombivali,Dombivali MIDC Phase-II,85,15,,,43,,,27,
,Jalgaon,B. J. Market,111,10,,,21,,,13,
,,Girna water tank,110,9,,,19,,,13,
,,MIDC Jalgaon,109,10,,,20,,,14,
,Jalna,"Bachat Bhawan, Near S P Office",90,8,,,14,,,11,
,,"Krishidhan Seeds Ltd, MIDC Area",88,8,,,14,,,11,
,Kolhapur,"University Campus, Shivaji University",94,7,,,19,,,12,
,,"Ruikar Trust, S.T. Stand",98,15,,,42,,,27,
,,"Mahadwar Road, Near Mahalaxmi Temple",100,12,,,34,,,22,
,Latur,MIDC Water Works,105,4,,,8,,,5,
,,Kshewraj Vidyalaya Shyam nagar,108,4,,,8,,,6,
,,Sidhheshwar Sahakari Bank Ganjgolai,104,4,,,8,,,5,
,Mumbai,"Bank of India, Kalbadevi Branch, Kalbadevi",20,2,,,4,,,2,
,,"Parel TT, Ambedkar Road",95,2,,,7,,,2,
,,Worli,97,2,,,6,,,2,
,Nagpur,Institution of Engineers,115,8,,,27,,,13,
,,"Govt. Polytechnic College, Sadar",111,7,,,28,,,12,
,,MIDC Office Hingana Road,101,6,,,37,,,13,
,,"MIDC Industrial Area, MIDC Office, Hingna",89,2,,,17,,,7,
,,"Nagpur Coop Building, Maskasath, Itwari",91,2,,,22,,,6,
,,"NEERI Lab, Nehru Marg, Highway No. 7",83,2,,,18,,,5,
,,"MPCB Office Premises, Civil Lines",313,6,,,33,,,11,
,Nashik,R.T.O. Colony Tank,101,2,,,24,,,12,
,,"VIP Industrial Area, MIDC Satpura",104,3,,,22,,,12,
,,Nashik Municipal Council Building,99,3,,,22,,,12,
,,"MPCB Sub R.O. Udyog Bhawan, Nashik",312,3,,,24,,,12,
,Navi Mumbai,"T.B.I.A, Rabale Airoli, TTC",98,13,,,33,,,20,
,,"Dr. D.Y. Patil College, Nerul, TTC",100,11,,,27,,,18,
,,"MPCB Lab, Mhape, TTC",97,13,,,26,,,20,
,,CIDCO Nodal Office Kharghar,102,12,,,27,,,19,
,,"Water Pump House, Panvel, Taloja",103,12,,,27,,,19,
,,"MIDC Collom Facility Building, Taloja",95,12,,,34,,,20,
,"Pimpri-
Chinchwad","Bank of Baroda Builing, Near M.C Builiding",261,9,,,76,,,39,
,Pune,"Maratha Chamber of commerce, Bhosari",98,9,,,80,,,39,
,,State Electricity Board BLDG Nalstop,84,8,,,71,,,38,
,,Swargate Police Chawki,75,9,,,73,,,35,
,Sangli,"Udyog bhavan / SRO, MPCB Sangli",97,4,,,33,,,9,
,,Sangli- Miraj Primary school Building,110,6,,,44,,,11,
,,Krishna Valley School,101,5,,,18,,,10,
,Solapur,WIT Campus,103,11,,,19,,,15,
,,Voronoko School / Chitale Clinic,104,12,,,19,,,16,
,Thane,"Maternity Hospital, Dhobighat, Thane East",90,10,,,25,,,18,
No. of,,,,,,,,,,,
monitoring,,,,,,,,,,,
days,,,,,,,,,,,
City / town /,,,,,,,,,,,
village,,,,,,,,,,,
Annual,,,,,,,,,,,
Average,,,,,,,,,,,
State / UT,"City / town /
village",Location,"No. of
monitoring
days",,SO2 Concentration in µg/m3,,,,,,
,,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,,(24-hourly,,,(24-hourly,,,
,,,,,average),,,average),,,
,,"Shahu Market,Naupada, Thane West",89,9,,,26,,,18,
,,"Kolshet and Balkum, Thane West",92,9,,,22,,,14,
,Ulhasnagar,Smt. C. H. M. College Campus,79,13,,,32,,,20,
,,"Octroi Naka, Pawai-Chowk, Vithalwadi",85,13,,,37,,,25,
Manipur,Imphal,Secretariat Building,24,2,,,100,,,10,
Meghalaya,Byrnihat,"EPIP, Ri-Bhoi district",108,21,,,34,,,26,
